CodeYear,Year,Country,Code,Population,SuicideRate,QualityLifeIndex,PurchasingPowerIndex,SafetyIndex,HealthCareIndex,CostOfLivingIndex,GDPperCapita,GrossNetIncome,MentalDisorderPrevalancePerc,EatingDisordersPrevalancePerc,HealthExpenditurePerCapita
ROU-2019,2019,Romania,ROU,19524212,9.699999809,140.31,61.16,72.16,54.49,36.45,28828.93538,12620,11.1,0.17,1906.59
RUS-2019,2019,Russia,RUS,145742288,25.10000038,104.94,45.38,58.07,57.63,35.52,28773.27475,11280,11.32,0.17,1704.04
RWA-2019,2019,Rwanda,RWA,12835029,5.599999905,,,,,,2135.312516,830,13.08,0.1,145.74
KNA-2019,2019,Saint Kitts and Nevis,KNA,47739,,,,,,,27589.86416,,15.1,0.3,1506.51
LCA-2019,2019,Saint Lucia,LCA,178594,7.900000095,,,,,,15134.05416,,14.47,0.23,697.71
VCT-2019,2019,Saint Vincent and the Grenadines,VCT,104940,1,,,,,,11915.18354,,14.45,0.22,620.3
STP-2019,2019,Sao Tome and Principe,STP,214612,1.5,,,,,,3648.030102,1950,11,0.11,226.81
SAU-2019,2019,Saudi Arabia,SAU,35827364,6,152.72,118.59,70.27,59.07,47.61,51199.35047,23220,13.7,0.29,2789.56
SEN-2019,2019,Senegal,SEN,16000783,6,119.83,39.9,62.73,52.56,35.39,3190.754171,1440,11,0.11,144.8
SRB-2019,2019,Serbia,SRB,7401056,11.39999962,,,,,,17379.73,7040,11.38,0.15,1686.07
SYC-2019,2019,Seychelles,SYC,104386,8.100000381,,,,,,31038.50172,16680,10.86,0.16,1468.72
SLE-2019,2019,Sierra Leone,SLE,8046830,6.699999809,,,,,,1743.452689,530,12.33,0.09,157
SVK-2019,2019,Slovakia,SVK,5453932,12.10000038,153.1,63.24,70.46,60.06,44.98,32350.58206,19250,11.21,0.2,2267.09
SVN-2019,2019,Slovenia,SVN,2112905,19.79999924,175.98,75.38,77.43,62.81,52.51,39716.32605,25980,11.63,0.2,3629.01
ZAF-2019,2019,South Africa,ZAF,58087060,23.5,135.31,82.97,23.2,62.56,42.49,12789.65379,6670,12.01,0.17,1187.33
